,cAll,cB,cV,cR,cI,lHa,lHb,lHg,FILENAME,DESIG,teff
0,1551849.5,-6.29955709,-6.489995122,-6.594833136,-6.351343393,0.901880223,0.07102943,2.251220919,spec-55860-B6001_sp05-006.fits,J221202.24+291221.8,4945.4
1,1336066.75,-6.458557248,-6.471859813,-6.295272708,-5.85660696,1.704826347,1.398878996,4.340278968,spec-55860-B6001_sp05-015.fits,J221158.44+291659.5,5620.9
2,5724380.5,-8.407077789,-7.755203843,-7.626614571,-7.30294466,2.564902469,2.32086529,5.296451317,spec-55860-B6001_sp05-017.fits,J221143.15+291517.7,6422.77
3,13131002,-9.214695692,-8.968666792,-8.638569117,-8.179927468,2.304839008,2.336379544,4.184953038,spec-55860-B6001_sp05-022.fits,J221103.75+290739.6,6217.99
4,621696,-5.71667254,-5.637941957,-5.248060822,-4.758499265,3.647408484,2.658527246,4.127701151,spec-55860-B6001_sp05-024.fits,J221126.81+290400.2,5989.04
5,2038788.125,-7.14825511,-6.817086339,-6.506677866,-6.03128612,1.704261303,1.28188875,4.663711363,spec-55860-B6001_sp05-025.fits,J221145.08+291206.1,6351.08
6,6296111,-8.420236111,-8.146445751,-7.822704911,-7.365966439,2.411172738,2.373090556,4.81875748,spec-55860-B6001_sp05-027.fits,J220928.55+293205.6,6246.99
7,1478049.375,-6.63479805,-6.611446142,-6.42136991,-6.029851437,1.572843032,1.756357503,8.023624075,spec-55860-B6001_sp05-032.fits,J220846.50+292740.5,5664.22
8,2099641.5,-7.129470706,-6.961046457,-6.749463081,-6.357164383,2.136011431,2.09702615,5.949470822,spec-55860-B6001_sp05-039.fits,J220932.98+293234.9,5913.36
9,2975171,-7.596324682,-7.315318584,-7.027004957,-6.591679454,2.232206497,2.678305594,6.520482352,spec-55860-B6001_sp05-041.fits,J220919.66+293527.3,6237.48
10,1946473.625,-6.973805428,-6.941525936,-6.763028502,-6.415336132,1.923978561,1.540776936,3.586911568,spec-55860-B6001_sp05-044.fits,J220951.37+292907.3,5498.79
11,3754397.5,-7.597686052,-7.669513226,-7.569610476,-7.264975309,1.578897224,1.173796506,5.586827285,spec-55860-B6001_sp05-049.fits,J221016.11+292845.2,5068.23
12,4179676,-7.614737749,-7.798866034,-7.720972896,-7.457336187,1.131113592,1.113257194,3.124193132,spec-55860-B6001_sp05-051.fits,J220820.62+295208.5,4748.35
13,463014.75,-5.414106846,-5.410875082,-5.250203609,-4.782864749,1.993994507,3.399125107,3.593151279,spec-55860-B6001_sp05-053.fits,J220850.14+294539.1,5779.92
14,6099972,-8.206453323,-8.182356954,-8.022120595,-7.705338597,1.629156218,1.406726268,2.811147521,spec-55860-B6001_sp05-054.fits,J220742.65+294455.3,5356.02
15,10202404,-8.816996217,-8.756580949,-8.53802681,-8.15979898,1.7566363,1.355709905,3.859729846,spec-55860-B6001_sp05-055.fits,J220906.63+295318.1,5677.04
16,6774000,-8.315312266,-8.321133852,-8.144321442,-7.777953148,1.622283218,1.365515291,5.116263212,spec-55860-B6001_sp05-056.fits,J220845.31+295032.8,5418.07
17,1922078.5,-6.938706636,-6.942315102,-6.790477633,-6.453547478,1.591605778,0.890890001,4.005910876,spec-55860-B6001_sp05-057.fits,J220816.21+294541.1,5333.94
18,1589158.5,-6.757349968,-6.768007874,-6.576767564,-6.182090044,1.09668487,1.396941058,4.599720412,spec-55860-B6001_sp05-059.fits,J220816.03+294838.0,5369.42
19,1377196.25,-6.409493685,-6.61462605,-6.57058835,-6.264888644,1.030036938,0.855688545,4.796130045,spec-55860-B6001_sp05-062.fits,J220856.69+294845.5,4935.01
20,1914316.75,-7.146655321,-6.903712153,-6.608017683,-6.168299317,2.300338455,1.896089703,0.172113051,spec-55860-B6001_sp05-063.fits,J220752.63+295102.6,5989.8
21,7513349,-8.58396709,-8.412402868,-8.128201365,-7.706950307,2.114312886,1.984534979,4.743488272,spec-55860-B6001_sp05-064.fits,J220726.43+295034.9,5951.02
22,1465921.5,-6.680620909,-6.638488173,-6.470035911,-6.095683575,1.796301002,1.300948048,4.859577641,spec-55860-B6001_sp05-066.fits,J220843.41+295150.1,5227.63
23,1253774.875,-6.64863646,-6.442450881,-6.154583693,-5.703676343,2.551744832,2.288089803,5.946687318,spec-55860-B6001_sp05-067.fits,J220826.73+294653.4,6030.01
24,2101242,-7.12002039,-7.059628963,-6.85217917,-6.47913754,1.457580003,1.080892071,2.486749941,spec-55860-B6001_sp05-074.fits,J220747.06+294829.3,5627.62
25,6156524,-8.451907635,-8.135359883,-7.783248425,-7.32693553,2.438307439,2.664643605,5.220457072,spec-55860-B6001_sp05-075.fits,J220733.39+294516.3,6581.9
