,obsid,designation,obsdate,lmjd,planid,spid,fiberid,ra,dec,snru,snrg,snrr,snri,snrz,objtype,class,subclass,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,t_info,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err,totalCounts,B,V,R,I,BV,BR,BI,VR,VI,RI,Ha,Hb,Hg,filename
0,605006,J221202.24+291221.8,2011-10-25,55860.0,B6001,5.0,6.0,333.009374,29.206066,5.63,13.52,19.58,28.93,19.48,Star,STAR,K3,ugrizjh,18.57,16.47,15.65,15.3,15.1,14.03,13.56,PILOT,Obj,SDSS_S_Y,,-62.8,11.88,4.775,0.351,4945.4,142.5,-0.364,0.491,1551849.5,-6.29955708981,-6.48999512196,-6.5948331356,-6.35134339333,0.19043803215,0.295276045799,0.0517863035202,0.104838013649,-0.13865172863,-0.243489742279,0.901880223064,0.0710294301347,2.25122091855,spec-55860-B6001_sp05-006.fits
1,605015,J221158.44+291659.5,2011-10-25,55860.0,B6001,5.0,15.0,332.993508,29.283218,5.03,19.79,20.21,22.22,13.79,Star,STAR,G5,ugrizjh,17.53,15.82,15.2,15.02,14.93,14.04,13.68,PILOT,Obj,SDSS_S_Y,,-28.72,10.92,4.358,0.186,5620.9,93.19,0.049,0.283,1336066.75,-6.45855724812,-6.47185981274,-6.29527270794,-5.8566069603,0.013302564621,-0.163284540176,-0.601950287819,-0.176587104797,-0.61525285244,-0.438665747643,1.70482634692,1.39887899626,4.34027896766,spec-55860-B6001_sp05-015.fits
2,605017,J221143.15+291517.7,2011-10-25,55860.0,B6001,5.0,17.0,332.929809,29.254944,8.1,45.33,66.32,76.85,48.99,Star,STAR,F5,ugrizjh,15.74,14.53,14.18,14.17,14.04,13.23,12.95,PILOT,Obj,SDSS_S_Y,,0.0,14.39,3.538,0.427,6422.77,175.59,-0.152,0.355,5724380.5,-8.40707778931,-7.75520384312,-7.62661457062,-7.30294466019,-0.65187394619,-0.780463218689,-1.10413312912,-0.128589272499,-0.45225918293,-0.323669910431,2.56490246921,2.32086529047,5.29645131653,spec-55860-B6001_sp05-017.fits
3,605022,J221103.75+290739.6,2011-10-25,55860.0,B6001,5.0,22.0,332.765653,29.127672,12.19,71.05,91.65,-9999.0,86.01,Star,STAR,F5,ugrizjh,99.0,99.0,99.0,99.0,99.0,12.26,12.0,PILOT,Obj,SDSS_S_Y,,-11.33,14.6,4.125,0.558,6217.99,151.15,-0.198,0.338,13131002.0,-9.21469569206,-8.96866679192,-8.63856911659,-8.1799274683,-0.246028900146,-0.57612657547,-1.03476822376,-0.330097675323,-0.788739323616,-0.458641648293,2.30483900834,2.3363795441,4.18495303793,spec-55860-B6001_sp05-022.fits
4,605024,J221126.81+290400.2,2011-10-25,55860.0,B6001,5.0,24.0,332.8617397,29.0667438,4.24,13.8,8.27,8.59,4.99,FS,STAR,F0,ugriz,18.1,16.99,16.64,16.51,16.48,99.0,99.0,PILOT,F-Std,,,-21.66,12.45,4.0,0.883,5989.04,434.91,-1.192,1.221,621696.0,-5.71667253971,-5.63794195652,-5.24806082249,-4.75849926472,-0.0787305831909,-0.468611717224,-0.958173274994,-0.389881134033,-0.879442691803,-0.48956155777,3.64740848376,2.6585272464,4.12770115129,spec-55860-B6001_sp05-024.fits
5,605025,J221145.08+291206.1,2011-10-25,55860.0,B6001,5.0,25.0,332.937835,29.201715,4.55,16.02,20.71,28.27,16.86,Star,STAR,F5,ugrizjh,16.79,15.71,15.47,15.28,15.25,14.49,14.28,PILOT,Obj,SDSS_S_Y,,-202.16,30.84,4.388,0.445,6351.08,293.81,-0.803,0.777,2038788.125,-7.14825510979,-6.817086339,-6.50667786598,-6.03128612041,-0.33116877079,-0.641577243805,-1.11696898937,-0.310408473015,-0.785800218582,-0.475391745567,1.70426130311,1.28188875028,4.66371136322,spec-55860-B6001_sp05-025.fits
6,605027,J220928.55+293205.6,2011-10-25,55860.0,B6001,5.0,27.0,332.3689685,29.5349078,7.26,45.48,58.13,78.77,50.53,FS,STAR,F5,ugriz,15.68,14.53,14.18,14.06,14.04,99.0,99.0,PILOT,F-Std,,,5.14,17.44,4.337,0.448,6246.99,177.26,-0.356,0.425,6296111.0,-8.42023611069,-8.14644575119,-7.82270491123,-7.36596643925,-0.273790359497,-0.597531199455,-1.05426967144,-0.323740839958,-0.780479311943,-0.456738471985,2.4111727381,2.37309055588,4.81875747998,spec-55860-B6001_sp05-027.fits
7,605032,J220846.50+292740.5,2011-10-25,55860.0,B6001,5.0,32.0,332.193782,29.461256,2.66,15.86,20.44,28.51,17.36,Star,STAR,G5,ugrizjh,17.7,16.11,15.53,15.36,15.27,14.36,14.1,PILOT,Obj,SDSS_S_Y,,-56.2,15.33,3.988,0.551,5664.22,255.93,0.179,0.47,1478049.375,-6.63479804993,-6.6114461422,-6.42136991024,-6.02985143661,-0.0233519077301,-0.213428139687,-0.604946613312,-0.190076231956,-0.581594705582,-0.391518473625,1.57284303238,1.75635750323,8.02362407484,spec-55860-B6001_sp05-032.fits
8,605039,J220932.98+293234.9,2011-10-25,55860.0,B6001,5.0,39.0,332.387445,29.543041,2.24,18.68,24.44,36.35,22.29,Star,STAR,F5,ugrizjh,17.0,15.74,15.27,15.12,15.05,14.09,13.74,PILOT,Obj,SDSS_S_Y,,-35.19,28.99,4.455,1.019,5913.36,299.96,-0.318,0.852,2099641.5,-7.12947070599,-6.96104645729,-6.74946308136,-6.35716438293,-0.168424248695,-0.380007624626,-0.772306323051,-0.211583375931,-0.603882074356,-0.392298698425,2.13601143063,2.09702615035,5.94947082221,spec-55860-B6001_sp05-039.fits
9,605041,J220919.66+293527.3,2011-10-25,55860.0,B6001,5.0,41.0,332.3319369,29.5909286,3.31,26.2,32.27,45.41,28.18,FS,STAR,F5,ugriz,16.41,15.27,14.9,14.76,14.73,99.0,99.0,PILOT,F-Std,,,10.67,23.57,4.392,0.484,6237.48,230.47,-0.481,0.59,2975171.0,-7.59632468224,-7.31531858444,-7.0270049572,-6.59167945385,-0.281006097794,-0.569319725037,-1.00464522839,-0.288313627243,-0.723639130592,-0.435325503349,2.23220649731,2.67830559418,6.52048235233,spec-55860-B6001_sp05-041.fits
